bike_station_location,name,main_category,address,distance_away
"45.50512504,-122.6533681",Apex,Beer Bar,1216 SE Division St,48
"45.50512504,-122.6533681",The Baker's Mark,Fast Food Restaurant,1126 SE Division St,78
"45.50512504,-122.6533681",Virtuous Pie,Pizzeria,1126 SE Division St,74
"45.50512504,-122.6533681",Books With Pictures,Bookstore,1401 SE Division St,95
"45.50512504,-122.6533681",Pine State Biscuits,Breakfast Spot,1100 SE Division St,107
"45.50512504,-122.6533681",Baerlic Brewing Co.,Bar,2235 SE 11th Ave,209
"45.50512504,-122.6533681",Palomar,Cocktail Bar,959 SE Division St,239
"45.50512504,-122.6533681",Deadshot,Cocktail Bar,2133 SE 11th Ave,272
"45.50512504,-122.6533681",Shoebox Theater,Theater,2110 SE 10th Ave,307
"45.50356665,-122.6395279",Broder,Comfort Food Restaurant,2508 SE Clinton St,52
"45.50356665,-122.6395279",Little T American Baker,Bakery,2600 SE Division St,125
"45.50356665,-122.6395279",Piccolo Park,Playground,SE 27TH Ave,112
"45.50356665,-122.6395279",Reel M Inn,Dive Bar,2430 SE Division St,151
"45.50356665,-122.6395279",Nuestra Cocina,Latin American Restaurant,2135 SE Division St,363
"45.50356665,-122.6395279",Jacqueline,Cocktail Bar,2039 SE Clinton St,405
"45.50356665,-122.6395279",Bollywood Theater,Indian Restaurant,3010 SE Division St,419
"45.50356665,-122.6395279",Spielman Coffee Roasters,Coffee Shop,2128 SE Division St,398
"45.50356665,-122.6395279",Mestizo,Bar,2910 SE Division St,335
"45.50356665,-122.6395279",Yama Sushi & Izakaya,Tapas Restaurant,2038 SE Clinton St,410
"45.51623176,-122.6360679",Bare Bones Cafe & Bar,Dining and Drinking,2908 SE Belmont St,13
"45.51623176,-122.6360679",The Nest Lounge,Cocktail Bar,2715 SE Belmont St,129
"45.51623176,-122.6360679",Baby Doll Pizza,Pizzeria,2835 SE Stark St,353
"45.51623176,-122.6360679",Goodfoot Pub & Lounge,Cocktail Bar,2845 SE Stark St,363
"45.51623176,-122.6360679",Mirisata,Sri Lankan Restaurant,2420 SE Belmont St,383
"45.51623176,-122.6360679",Sweet Hereafter,Cocktail Bar,3326 SE Belmont St,449
"45.51623176,-122.6360679",H Mart,Grocery Store,3301 SE Belmont St,429
"45.51623176,-122.6360679",Coava Coffee Roasters,Coffee Shop,2631 SE Hawthorne Blvd,491
"45.51623176,-122.6360679",Ken's Artisan Pizza,Pizzeria,304 SE 28th Ave,502
"45.51623176,-122.6360679",Tov,Coffee Shop,3207 SE Hawthorne Blvd,526
"45.51147657,-122.6662856",The steep and thorny way to heaven,Performing Arts Venue,210 SE Madison St,223
"45.51147657,-122.6662856",Nossa Familia,Café,1633 SE 3rd Ave,251
"45.51147657,-122.6662856",Oregon Museum of Science and Industry,Science Museum,1945 SE Water Ave,320
"45.51147657,-122.6662856",Shalom Y'all Restaurant,Israeli Restaurant,117 SE Taylor St,442
"45.51147657,-122.6662856",Coava Coffee Roasters,Coffee Shop,1300 SE Grand Ave,506
"45.51147657,-122.6662856",Kure Juice Bar,Juice Bar,77 SE Yamhill St,498
"45.51147657,-122.6662856",Guardian Games,Toy Store,345 SE Taylor St,558
"45.51147657,-122.6662856",Cargo,Furniture and Home Store,81 SE Yamhill St,524
"45.51147657,-122.6662856",South Waterfront Park,Park,1814-1816 SW River Pkw,597
"45.51147657,-122.6662856",Il Terrazzo,Cocktail Bar,0315 SW Montgomery St,613
"45.51844688,-122.651685",Revolution Hall,Concert Hall,1300 SE Stark St,67
"45.51844688,-122.651685",Nostrana,Pizzeria,1401 SE Morrison St,89
"45.51844688,-122.651685",The Roof Deck at Revolution Hall,Bar,1300 SE Stark St,70
"45.51844688,-122.651685",Show Bar,Bar,1300 SE Stark St,95
"45.51844688,-122.651685",Northwest Fighting arts,Martial Arts Dojo,200 SE Morrison St,206
"45.51844688,-122.651685",Kachka Co.,Russian Restaurant,960 SE 11th Ave,374
