bike_station_location,name,main_category,address,price,rating,review_count,status,distance_away
"45.553917,-122.6020709",Peter's Bar and Grill,Sports Bars,5701 NE Fremont St,$$,4.5,151,Open,640.5391586439355
"45.553917,-122.6020709",Bison Coffee House,Coffee & Tea,3941 NE Cully Blvd,$,4.5,158,Open,293.260540701753
"45.553917,-122.6020709",Fire On The Mountain,Barbeque,3443 NE 57th Ave,$$,3.5,599,Open,692.9414011437761
"45.553917,-122.6020709",Dirty Lettuce,Vegan,4727 NE Fremont St,$$,4.5,111,Open,1132.790452886559
"45.553917,-122.6020709",Pizzeria Otto,Pizza,6708 NE Sandy Blvd,$$,4.0,373,Open,1042.9003389110703
"45.553917,-122.6020709",Three Fifty Cafe,Vietnamese,6205 NE Prescott St,n/a,5.0,16,Open,298.2363505742472
"45.553917,-122.6020709",Amalfi's Restaurant & Mercato,Italian,4703 NE Fremont St,$$,3.5,419,Open,1160.0935671751618
"45.553917,-122.6020709",Angel Food & Fun,Mexican,5135 NE 60th Ave,$,4.5,186,Open,690.2865412580542
"45.553917,-122.6020709",Nepali Kitchen,Himalayan/Nepalese,3434 NE 49th,n/a,4.5,45,Open,1038.980023973693
"45.553917,-122.6020709",Hi-Top Tavern,Bars,5015 NE Fremont St,n/a,4.5,59,Open,907.6309373763769
"45.553917,-122.6020709",Nico's Ice Cream,Ice Cream & Frozen Yogurt,5713 NE Fremont St,$,4.5,74,Open,642.0661163276267
"45.51658489,-122.6160378",Horse Brass Pub,British,4534 SE Belmont St,$$,4.0,729,Open,59.111547217092806
"45.51658489,-122.6160378",Musashi's Pdx,Japanese,4246 SE Belmont St,$$,4.5,101,Open,197.57903150452157
"45.51658489,-122.6160378",3 Doors Down Cafe & Lounge,Italian,1429 SE 37th Ave,$$$,4.5,405,Open,916.3961545892048
"45.51658489,-122.6160378",Brazilian House,Food Trucks,4255 SE Belmont St,$,4.5,96,Open,176.66470472675383
"45.51658489,-122.6160378",Viking Soul Food,Scandinavian,4255 SE Belmont St,$$,4.5,260,Open,182.27165598072298
"45.51658489,-122.6160378",Wajan,Indonesian,4611 E Burnside St,$$,4.5,251,Open,741.4525069762645
"45.51658489,-122.6160378",Buddy’s Steaks,Cheesesteaks,4255 SE Belmont St,n/a,4.5,56,Open,192.62759225654113
"45.51658489,-122.6160378",Slappy Cakes,Breakfast & Brunch,4246 SE Belmont St,$$,3.5,886,Open,196.46921391517424
"45.51658489,-122.6160378",Por Qué No? Taqueria,Mexican,4635 SE Hawthorne Blvd,$$,4.0,1357,Open,516.5489969735403
